,companyName,company_starRating,company_offeredRole,company_roleLocation,company_salary_raw,companyHQ,company_founded,company_industry,company_revenue,company_size,company_type,company_sector,requested_url,search_state,company_salary,job_seniority,job_title
579,Unilever,4.1,Data Scientist,CT,Employer est.:$67K - $101K ,"Englewood Cliffs, NJ",1872.0,Consumer Product Manufacturing,$10+ billion (USD),10000+ Employees,Company - Public,Manufacturing,https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=1136043&s=58&guid=000001868b04c51f9ec90efeb88e8b13&src=GD_JOB_AD&t=SR&vt=w&cs=1_780c3fb3&cb=1677369591430&jobListingId=1008200319995&jrtk=3-0-1gq5g9ha5k25j801-1gq5g9haqg4fk800-58e3873a8907e373-,CT,84.0,no prefix,data_science
580,Creative Financial Staffing,4.8,Sr. Financial Data Analyst - Healthcare,CT,Employer est.:$75K - $120K ,"Boston, MA",1994.0,HR Consulting,$25 to $100 million (USD),201 to 500 Employees,Company - Private,Human Resources & Staffing,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001868b04c51f9ec90efeb88e8b13&src=GD_JOB_AD&t=SR&vt=w&cs=1_ebac6ceb&cb=1677369591429&jobListingId=1008483260802&cpc=3DB599BF2F4828F0&jrtk=3-0-1gq5g9ha5k25j801-1gq5g9haqg4fk800-23c7bd58e0eb2200--6NYlbfkN0AyIsnDczwcVDFrYpf5kat3hxWjSi6qx3YGCfJB8v0u0mBitL_xnl2H1nQFccIMgyOynyQYVNQVYQmyYjRLr3pZ3EMzrOlRqeJx48S0cTBqvUFSLiAb25UNv8vU8TEYypwhVOUanEykNVmKqIdrx6iNRn5PIHO10FB2mWktSS9XABrACmWFu7HRoN_faEK7UA9zIpGwWVXF0oS7NNdrng98Jr0c8PGQgvmIpWY6AqQdpjjSHIlBTkByEOS-c_lQuALFP6yGXHmeZAtPjVkhpORDnVFWLRORaKwK5Gc9d27aOmgr5Y_xmmZYNlAwnaHDbvQrto1h-qfgEt9E2UH99i70iqLjyBadUApp1maVTxub4wZnWhH1ww25cYS5AQlSy-tK2RWrj8XmzGBZIgQtSaaWhLMxjL4UJ78oKzrmbHs-t5WZh3d-h-BQdSfP_3RrviyEQqPOO_ljOaFTfPW49seLB9dXRM_wWuhs4FbH7-w3lSk_M2jG2he4rM0PzdzbonL7NRvGwpiaxW8cp-gZZftmMLsfOC4zwps4qiOf43MioDO-rscEs4Seh7H252nnSm9sczdk5QKx9LzImFO_MDGlxnHYT8wC-X8YKrjcZ6RTBXq9O7KBSm8-2hDYG6Vs2xVlK3D79MwN4D3Q7IpLKWjMt-y9dUFBqhgxDgvlW_UzszWy_IKj5mht,CT,97.5,senior,data_analytics
581,"Task Management, Inc",3.3,Data Quality Assurance - Food Science,CT,Employer est.:$30.00 - $32.00 Per Hour,"Riverside, IL",,Business Consulting,$1 to $5 million (USD),1 to 50 Employees,Company - Private,Management & Consulting,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1110586&s=58&guid=000001868b04c51f9ec90efeb88e8b13&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6f106d37&cb=1677369591429&jobListingId=1008456932914&cpc=C4A69CCDBB3B9599&jrtk=3-0-1gq5g9ha5k25j801-1gq5g9haqg4fk800-9e5c68f3fe18ce55--6NYlbfkN0BvIALFv9G1jpGwK5UsNergzB8AM8gSE4lxfMwFE-xD_GJ2xkjIk_Ah2vb31TCaHdOAZoOHCH6Bul-T9PZtIGZT78DzP3Gfwz0JhYto1EwAwXfsxEYG3M1aXcspWmg8274OJQHKW0o7BzhAvXxyp0ncYW0WQu51PcwDji0DCM2ObCGerbsLgEs46ODy6dlNkXBhYRi8PgZqM99hoADw_YftPRE0aXYs3pNu5hjW3JSoJT3AP07Jr9R3YLKamsxyyHMX0pFGyiyzBXrvCx8AelZ2MzGBZWUJ1Ty_q7fMk1iV8SjdZ3pDnSEbgb5IR3DLp9G9UIhQy-4sGybST4NE3bnDSOj1C86KlkeclsyWYqtJW_Vsb97t5EHPxNn20Sot3gpBT_2pZcu46LS0S9cbb_PYrg4_hY0JJ31VG3D5F2QRahNxEQnVd9d7hlilaOBVH_ViMOkVyrU-iKXb5INqhiu-1sHCCW5A5unJjR_CiV1D-CFi8jMx3v1AkZ8aYjMN2fx8C5DCxjb4iIevTX4FqG69RnXZDfO6cNdd8N2ngvPlqSeXKsTEMKdWbVFWvvtFRiUoiK2qIghpU8URtMYszPeIBTxNftG1qAFHG50cCuwSIZx78-u-dPcm,CT,64.48,no prefix,other title
582,Pfizer,4.1,Data Scientist,CT,$88K - $131K (Glassdoor est.),"New York, NY",1849.0,Biotech & Pharmaceuticals,$10+ billion (USD),10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=000001868b04c51f9ec90efeb88e8b13&src=GD_JOB_AD&t=SR&vt=w&cs=1_b07aebd8&cb=1677369591430&jobListingId=1007951773762&jrtk=3-0-1gq5g9ha5k25j801-1gq5g9haqg4fk800-0c3506530a369654-,CT,109.5,no prefix,data_science
583,Cigna,3.7,Stars Data Science & Analytics Manager - Remote,CT,Employer est.:$118K - $196K ,"Bloomfield, CT",1865.0,Health Care Services & Hospitals,$10+ billion (USD),10000+ Employees,Company - Public,Healthcare,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1136043&s=58&guid=000001868b04c51f9ec90efeb88e8b13&src=GD_JOB_AD&t=SR&vt=w&cs=1_dc67f7fb&cb=1677369591431&jobListingId=1008392025264&jrtk=3-0-1gq5g9ha5k25j801-1gq5g9haqg4fk800-8b52965abfb68da3-,CT,157.0,senior,data_science
584,"The Travelers Companies, Inc.",4.0,"Data, Analytics & AI Architect",CT,Employer est.:$112K - $185K ,"Hartford, CT",1853.0,Insurance Carriers,$10+ billion (USD),10000+ Employees,Company - Public,Insurance,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001868b04c51f9ec90efeb88e8b13&src=GD_JOB_AD&t=SR&vt=w&cs=1_169f60ed&cb=1677369591430&jobListingId=1008462410356&cpc=E521981D00147CE2&jrtk=3-0-1gq5g9ha5k25j801-1gq5g9haqg4fk800-c7baff6cb4dbfe88--6NYlbfkN0DwhCR4mE7Dx-CLhz4PI5BhfvPze6ywMzhMsBH5psjCE2akgMDjbc7mgQRF-OO2fE4YuqfIxrqEN3HdX7dwDBDgPjnHQoq9iQ91gjulLlQSYbRmC-2tx-7zxxjN255SIXfIV83N548NcpCfc01yuFFE9SdBQO7dMDGW8BAYG_ugoCp38kKrpO26d6GTTaM1Wwy5rgOOC_9QK469CsFmBSLvtJoKtXRHfKMdKjWgOyzoYEcpSRGLHaCgeYgeTcEIAG0ysqMKdtWfo4OaR1twiyERSkdtvW5_jp-nk-2PXtq0m1KTrhINekelIw2Db0_5k-HpeGw8C8JzzafJrJCePJq2GC4YaKNe86JywI7QJDGO4nbztXeIE3kJVePvdh1gAnOZj7OtGrFEM6WLzfjUtcvH0DQYSxfPNPvgEQQZMnAv7zuIzugIlq-EEDJ9qEQBCqfqRqzTKGRCq2TS8r5dmfIpk973QqPrO4cUB1sOQu7OVYG0Unmzs_8pmQFeATENWP4HYSIGUdMrCUmAkcK6rmkIUoOrMwbH16mEQ2JHQqvT4xKC0g965-yHHibS_2reRsnzDanWQd8qEESIjJRvfkjVEveu1MfgVTI6FOZt73kX2RKEIv9Q-BoNHk_dlgJgGv6PGgokz7Vq4u2R5UtC_6wXoM8DXpsXz411A1acbAvmtA%3D%3D,CT,148.5,no prefix,machine_learning_engineer
585,GeneDx,2.9,Product Data Scientist,CT,Employer est.:$95K - $170K ,"Gaithersburg, MD",,Biotech & Pharmaceuticals,$5 to $25 million (USD),201 to 500 Employees,Company - Public,Pharmaceutical & Biotechnology,https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=1136043&s=58&guid=000001868b0d6675ac9e3beca4adca49&src=GD_JOB_AD&t=SR&vt=w&cs=1_63f27dad&cb=1677370157376&jobListingId=1008359333691&jrtk=3-0-1gq5gqpkrgri1801-1gq5gqplgmfr7800-b012d59f73cf4b99-,CT,132.5,no prefix,data_science
586,Gartner,4.0,Data Scientist,CT,$93K - $134K (Glassdoor est.),"Stamford, CT",1979.0,Business Consulting,$1 to $5 billion (USD),10000+ Employees,Company - Public,Management & Consulting,https://www.glassdoor.com/partner/jobListing.htm?pos=230&ao=1136043&s=58&guid=000001868b0d6675ac9e3beca4adca49&src=GD_JOB_AD&t=SR&vt=w&cs=1_e5a2bffd&cb=1677370157377&jobListingId=1008464835374&jrtk=3-0-1gq5gqpkrgri1801-1gq5gqplgmfr7800-d041ccbcd92e94e4-,CT,113.5,no prefix,data_science
587,Webster Financial Corp,3.6,Data Scientist,CT,Employer est.:$120K - $155K ,"Stamford, CT",1935.0,Banking & Lending,$1 to $5 billion (USD),1001 to 5000 Employees,Subsidiary or Business Segment,Financial Services,https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=1136043&s=58&guid=000001868b0d6675ac9e3beca4adca49&src=GD_JOB_AD&t=SR&vt=w&cs=1_ebb695fe&cb=1677370157376&jobListingId=1007878004548&jrtk=3-0-1gq5gqpkrgri1801-1gq5gqplgmfr7800-7ee1adc8e27a53a3-,CT,137.5,no prefix,data_science
588,"The Travelers Companies, Inc.",4.0,"Director, Decision Science",CT,Employer est.:$126K - $207K ,"Hartford, CT",1853.0,Insurance Carriers,$10+ billion (USD),10000+ Employees,Company - Public,Insurance,https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=1136043&s=58&guid=000001868b0d6675ac9e3beca4adca49&src=GD_JOB_AD&t=SR&vt=w&cs=1_ab183964&cb=1677370157376&jobListingId=1008474455477&jrtk=3-0-1gq5gqpkrgri1801-1gq5gqplgmfr7800-26b3f35458a0137a-,CT,166.5,senior,other title
589,Cigna,3.7,Senior Data Scientist - Remote,CT,Employer est.:$114K - $189K ,"Bloomfield, CT",1865.0,Health Care Services & Hospitals,$10+ billion (USD),10000+ Employees,Company - Public,Healthcare,https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=1136043&s=58&guid=000001868b0d6675ac9e3beca4adca49&src=GD_JOB_AD&t=SR&vt=w&cs=1_189c18d7&cb=1677370157376&jobListingId=1008354659294&jrtk=3-0-1gq5gqpkrgri1801-1gq5gqplgmfr7800-7bb61b1339675915-,CT,151.5,senior,data_science
590,The Jackson Laboratory,3.5,Chief Data Science Officer,CT,$123K - $218K (Glassdoor est.),"Bar Harbor, ME",1929.0,Biotech & Pharmaceuticals,$100 to $500 million (USD),1001 to 5000 Employees,Nonprofit Organization,Pharmaceutical & Biotechnology,https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=1136043&s=58&guid=000001868b0d6675ac9e3beca4adca49&src=GD_JOB_AD&t=SR&vt=w&cs=1_5d9aa1dd&cb=1677370157375&jobListingId=1008485789075&jrtk=3-0-1gq5gqpkrgri1801-1gq5gqplgmfr7800-404420db7428ca81-,CT,170.5,no prefix,data_science
591,iCapital,4.3,Data Engineer,CT,Employer est.:$120K - $200K ,"Abu Dhabi, United Arab Emirates",2001.0,Information Technology Support Services,Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=228&ao=1136043&s=58&guid=000001868b0d6675ac9e3beca4adca49&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f9414cc2&cb=1677370157377&jobListingId=1008487268366&jrtk=3-0-1gq5gqpkrgri1801-1gq5gqplgmfr7800-85a7dfd3f37f51dd-,CT,160.0,no prefix,data_engineer
592,HSB,3.7,Data Scientist,CT,$77K - $119K (Glassdoor est.),"LuleÃÂ¥, Sweden",,,Unknown / Non-Applicable,Unknown,Company - Private,,https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=1136043&s=58&guid=000001868b0d6675ac9e3beca4adca49&src=GD_JOB_AD&t=SR&vt=w&cs=1_4fee245a&cb=1677370157375&jobListingId=1008488963913&jrtk=3-0-1gq5gqpkrgri1801-1gq5gqplgmfr7800-33603833716801cc-,CT,98.0,no prefix,data_science
593,"Alexion Pharmaceuticals,Inc.",3.8,"Senior Manager, Data, Insights & Analytics Program Lead",CT,$102K - $143K (Glassdoor est.),"Boston, MA",1992.0,Biotech & Pharmaceuticals,Unknown / Non-Applicable,1001 to 5000 Employees,Company - Public,Pharmaceutical & Biotechnology,https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=1136043&s=58&guid=000001868b0d6675ac9e3beca4adca49&src=GD_JOB_AD&t=SR&vt=w&cs=1_8da33e5d&cb=1677370157377&jobListingId=1008479781699&jrtk=3-0-1gq5gqpkrgri1801-1gq5gqplgmfr7800-4b98ee6a5b608e15-,CT,122.5,senior,other title
594,iCapital,4.3,Data Scientist,CT,Employer est.:$120K - $150K ,"Abu Dhabi, United Arab Emirates",2001.0,Information Technology Support Services,Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=1136043&s=58&guid=000001868b0d6675ac9e3beca4adca49&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_853c5080&cb=1677370157375&jobListingId=1008485041711&jrtk=3-0-1gq5gqpkrgri1801-1gq5gqplgmfr7800-eb8c1c9143e4aa68-,CT,135.0,no prefix,data_science
595,Deloitte,4.1,Data Scientist,CT,$96K - $141K (Glassdoor est.),"New York, NY",1850.0,Accounting & Tax,$10+ billion (USD),10000+ Employees,Company - Private,Financial Services,https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=1136043&s=58&guid=000001868b0d6675ac9e3beca4adca49&src=GD_JOB_AD&t=SR&vt=w&cs=1_17bc0a9d&cb=1677370157375&jobListingId=1008475676478&jrtk=3-0-1gq5gqpkrgri1801-1gq5gqplgmfr7800-45d5e060756a1a7e-,CT,118.5,no prefix,data_science
596,S&P Global,4.1,Data Onboarding Analyst,CT,Employer est.:$58K - $115K ,"New York, NY",1888.0,Research & Development,$5 to $10 billion (USD),10000+ Employees,Company - Public,Management & Consulting,https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=1136043&s=58&guid=000001868b0d6675ac9e3beca4adca49&src=GD_JOB_AD&t=SR&vt=w&cs=1_3b702a05&cb=1677370157377&jobListingId=1008334483008&jrtk=3-0-1gq5gqpkrgri1801-1gq5gqplgmfr7800-14385038e5ba2a15-,CT,86.5,no prefix,other title
597,Quantum-Si,4.6,Data Science Lead,CT,$93K - $151K (Glassdoor est.),"Guilford, CT",,,Unknown / Non-Applicable,51 to 200 Employees,Company - Private,,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1136043&s=58&guid=000001868b0d6675ac9e3beca4adca49&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d0460b46&cb=1677370157374&jobListingId=1008366868704&jrtk=3-0-1gq5gqpkrgri1801-1gq5gqplgmfr7800-3ff274d64e4cb508-,CT,122.0,senior,data_science
598,Gen Re,3.4,"Manager, Data Science Engineer",CT,$101K - $145K (Glassdoor est.),"KÃÂ¶ln, Germany",1846.0,Insurance Carriers,Unknown / Non-Applicable,501 to 1000 Employees,Unknown,Insurance,https://www.glassdoor.com/partner/jobListing.htm?pos=227&ao=1136043&s=58&guid=000001868b0d6675ac9e3beca4adca49&src=GD_JOB_AD&t=SR&vt=w&cs=1_c1b74354&cb=1677370157377&jobListingId=1008433931167&jrtk=3-0-1gq5gqpkrgri1801-1gq5gqplgmfr7800-695d07b24ae4c407-,CT,123.0,senior,data_science
599,Priceline.com,4.3,"Data Analyst, Hotel Property Activation",CT,Employer est.:$70K - $90K ,"Norwalk, CT",1997.0,Internet & Web Services,$1 to $5 billion (USD),501 to 1000 Employees,Company - Public,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=1136043&s=58&guid=000001868b0d6675ac9e3beca4adca49&src=GD_JOB_AD&t=SR&vt=w&cs=1_3b2e40ab&cb=1677370157375&jobListingId=1008474118462&jrtk=3-0-1gq5gqpkrgri1801-1gq5gqplgmfr7800-aceb296408b54c57-,CT,80.0,no prefix,data_analytics
600,Change Healthcare,3.5,Data Mining Analyst,CT,Employer est.:$68K - $167K ,"Nashville, TN",2007.0,Information Technology Support Services,Unknown / Non-Applicable,10000+ Employees,Company - Public,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=319&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_91f11b0a&cb=1677370662627&jobListingId=1007738233920&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-5ca64cdfcd50a689-,CT,117.5,no prefix,other title
601,"The Travelers Companies, Inc.",4.0,Data Engineer - II (Ab Initio/ETL/Data Warehouse),CT,Employer est.:$114K - $188K ,"Hartford, CT",1853.0,Insurance Carriers,$10+ billion (USD),10000+ Employees,Company - Public,Insurance,https://www.glassdoor.com/partner/jobListing.htm?pos=306&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_18951deb&cb=1677370662626&jobListingId=1008474456096&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-50a3613bf3c34e94-,CT,151.0,no prefix,data_engineer
602,BankMobile,3.5,Data Scientist,CT,$78K - $126K (Glassdoor est.),"Radnor, PA",2015.0,Banking & Lending,Unknown / Non-Applicable,51 to 200 Employees,Company - Private,Financial Services,https://www.glassdoor.com/partner/jobListing.htm?pos=313&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_d3bafd1d&cb=1677370662626&jobListingId=1007768487012&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-0c610c202dc9d34a-,CT,102.0,no prefix,data_science
603,Castleton Commodities International,3.7,Data Engineer (Hybrid - 3/2 Work Schedule),CT,$63K - $92K (Glassdoor est.),"Stamford, CT",1997.0,Energy & Utilities,Unknown / Non-Applicable,501 to 1000 Employees,Company - Private,"Energy, Mining & Utilities",https://www.glassdoor.com/partner/jobListing.htm?pos=316&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_8d6f60a3&cb=1677370662626&jobListingId=1008297730027&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-8451201e3da6db19-,CT,77.5,no prefix,data_engineer
604,Plaxonic,4.6,Data Modeler,CT,Employer est.:$99K - $140K ,"Noida, India",2013.0,Information Technology Support Services,$1 to $5 million (USD),51 to 200 Employees,Company - Private,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=326&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c80a63b7&cb=1677370662627&jobListingId=1008445224586&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-a4c022e0429a7176-,CT,119.5,no prefix,other title
605,S&P Global,4.1,"Senior Analyst, Data Onboarding",CT,Employer est.:$70K - $139K ,"New York, NY",1888.0,Research & Development,$5 to $10 billion (USD),10000+ Employees,Company - Public,Management & Consulting,https://www.glassdoor.com/partner/jobListing.htm?pos=327&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_8593b5f7&cb=1677370662627&jobListingId=1008334483156&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-834d243507007645-,CT,104.5,senior,other title
606,Henkel,4.3,Category & Shopper Insight Lead,CT,Employer est.:$105K - $178K ,"DÃÂ¼sseldorf, Germany",1876.0,Consumer Product Manufacturing,$10+ billion (USD),10000+ Employees,Company - Public,Manufacturing,https://www.glassdoor.com/partner/jobListing.htm?pos=312&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_68ef9d71&cb=1677370662626&jobListingId=1008438523426&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-296aa553152ef3e7-,CT,141.5,senior,other title
607,Assa Abloy,3.7,Data Engineer,CT,$78K - $116K (Glassdoor est.),"Stockholm, Sweden",1994.0,Machinery Manufacturing,$10+ billion (USD),10000+ Employees,Company - Public,Manufacturing,https://www.glassdoor.com/partner/jobListing.htm?pos=324&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_e8120f8d&cb=1677370662627&jobListingId=1008391380559&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-33f24e9f2ca4091b-,CT,97.0,no prefix,data_engineer
608,Deloitte,4.1,"Manager, Confidentiality & Privacy - Technology and Data Risk Management - Risk & Brand Protection",CT,$104K - $142K (Glassdoor est.),"New York, NY",1850.0,Accounting & Tax,$10+ billion (USD),10000+ Employees,Company - Private,Financial Services,https://www.glassdoor.com/partner/jobListing.htm?pos=330&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_6ab579ea&cb=1677370662628&jobListingId=1008466352724&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-9408bb0eea4bc2fb-,CT,123.0,senior,other title
609,Interactive Brokers,3.8,Senior Data Analyst - Compliance,CT,$96K - $137K (Glassdoor est.),"Greenwich, CT",,Investment & Asset Management,$1 to $5 billion (USD),1001 to 5000 Employees,Company - Public,Financial Services,https://www.glassdoor.com/partner/jobListing.htm?pos=301&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9122d04b&cb=1677370662625&jobListingId=1008076616695&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-a5c9c8c4de84f03e-,CT,116.5,senior,data_analytics
610,Pfizer,4.1,Biomedicine AI Talent Community,CT,$60K - $104K (Glassdoor est.),"New York, NY",1849.0,Biotech & Pharmaceuticals,$10+ billion (USD),10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,https://www.glassdoor.com/partner/jobListing.htm?pos=311&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_647e3cfc&cb=1677370662626&jobListingId=1008364707813&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-a37df2660f9acf53-,CT,82.0,no prefix,machine_learning_engineer
611,CVS Health,3.1,"Executive Director, Insights and Business Analysis - Pharmaceuticals",CT,Employer est.:$170K - $325K ,"Woonsocket, RI",1963.0,Health Care Services & Hospitals,$10+ billion (USD),10000+ Employees,Company - Public,Healthcare,https://www.glassdoor.com/partner/jobListing.htm?pos=328&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_523ef2b0&cb=1677370662627&jobListingId=1008339877251&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-4c37d0de3114a18f-,CT,247.5,senior,other title
612,"The Travelers Companies, Inc.",4.0,"Manager, Actuarial & Analytics",CT,Employer est.:$100K - $166K ,"Hartford, CT",1853.0,Insurance Carriers,$10+ billion (USD),10000+ Employees,Company - Public,Insurance,https://www.glassdoor.com/partner/jobListing.htm?pos=309&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_8eb540e9&cb=1677370662626&jobListingId=1008485493285&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-4c0e0e2f006e171a-,CT,133.0,senior,other title
613,"The Travelers Companies, Inc.",4.0,"Senior Consultant, Decision Science",CT,Employer est.:$84K - $138K ,"Hartford, CT",1853.0,Insurance Carriers,$10+ billion (USD),10000+ Employees,Company - Public,Insurance,https://www.glassdoor.com/partner/jobListing.htm?pos=321&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_f51242b9&cb=1677370662627&jobListingId=1008479361562&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-a690d3edeaf268f1-,CT,111.0,senior,other title
614,Statkraft,4.4,"Data Scientist - Digitalization, Trading & Origination",CT,$75K - $119K (Glassdoor est.),"Oslo, Norway",1895.0,Energy & Utilities,$10+ billion (USD),1001 to 5000 Employees,Company - Public,"Energy, Mining & Utilities",https://www.glassdoor.com/partner/jobListing.htm?pos=304&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_7fb3d214&cb=1677370662625&jobListingId=1008426637882&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-453ad4c531ca3bd3-,CT,97.0,no prefix,data_science
615,Hartford Steam Boiler,3.8,Data Scientist,CT,$87K - $124K (Glassdoor est.),"Hartford, CT",2000.0,Insurance Carriers,$100 to $500 million (USD),Unknown,Subsidiary or Business Segment,Insurance,https://www.glassdoor.com/partner/jobListing.htm?pos=305&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_db17b36f&cb=1677370662625&jobListingId=1008389103559&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-4b1d0232fc3f1353-,CT,105.5,no prefix,data_science
616,Cigna,3.7,Business Analytics Senior Analyst - eviCore - Remote,CT,Employer est.:$59K - $99K ,"Bloomfield, CT",1865.0,Health Care Services & Hospitals,$10+ billion (USD),10000+ Employees,Company - Public,Healthcare,https://www.glassdoor.com/partner/jobListing.htm?pos=320&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_82c9ff7c&cb=1677370662627&jobListingId=1008471995697&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-ebf48440a8ab2cd8-,CT,79.0,senior,business_analytics
617,State of Connecticut - Office of Policy and Management,3.5,GIS Analyst ((Research Analyst)),CT,Employer est.:$71K - $92K ,"Hartford, CT",,State & Regional Agencies,Unknown / Non-Applicable,10000+ Employees,Government,Government & Public Administration,https://www.glassdoor.com/partner/jobListing.htm?pos=325&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_c67a88b1&cb=1677370662627&jobListingId=1008471446374&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-c83ef4ca4de20996-,CT,81.5,no prefix,other title
618,"The Travelers Companies, Inc.",4.0,"Senior Manager, Decision Science",CT,Employer est.:$115K - $189K ,"Hartford, CT",1853.0,Insurance Carriers,$10+ billion (USD),10000+ Employees,Company - Public,Insurance,https://www.glassdoor.com/partner/jobListing.htm?pos=322&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_a347b07f&cb=1677370662627&jobListingId=1008479360450&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-b4e28a64bc8224cc-,CT,152.0,senior,other title
619,AXA,4.0,Scientist - Business Data Services,CT,Employer est.:$76K - $149K ,"Paris, France",1985.0,Insurance Carriers,$10+ billion (USD),10000+ Employees,Company - Private,Insurance,https://www.glassdoor.com/partner/jobListing.htm?pos=310&ao=1136043&s=58&guid=000001868b151d3bb7f78cb8ee72587d&src=GD_JOB_AD&t=SR&vt=w&cs=1_db102051&cb=1677370662626&jobListingId=1008302055551&jrtk=3-0-1gq5ha7bbjiit801-1gq5ha7c0jigm800-fcc8d98f1b758471-,CT,112.5,no prefix,other title
