,companyName,company_starRating,company_offeredRole,company_roleLocation,company_salary_raw,companyHQ,company_founded,company_industry,company_revenue,company_size,company_type,company_sector,requested_url,search_state,company_salary,job_seniority,job_title
1891,JLG Industries Inc,3.6,Data Engineer Principal,MD,$105K - $148K (Glassdoor est.),"Mc Connellsburg, PA",1969.0,Machinery Manufacturing,$1 to $5 billion (USD),1001 to 5000 Employees,Subsidiary or Business Segment,Manufacturing,https://www.glassdoor.com/partner/jobListing.htm?pos=329&ao=1136043&s=58&guid=000001868b3ed7ff8f34f8ff7cd623e3&src=GD_JOB_AD&t=SR&vt=w&cs=1_c1f594cd&cb=1677373397321&jobListingId=1008478196346&jrtk=3-0-1gq5jtm14jihh801-1gq5jtm1ois2h800-87c29cd1be74fb44-,MD,126.5,senior,data_engineer
1892,"Naval Systems, Inc.",3.9,Junior Data Scientist,MD,$73K - $113K (Glassdoor est.),"Lexington Park, MD",2004.0,Aerospace & Defense,Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Aerospace & Defense,https://www.glassdoor.com/partner/jobListing.htm?pos=308&ao=1136043&s=58&guid=000001868b3ed7ff8f34f8ff7cd623e3&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_be4a48f9&cb=1677373397319&jobListingId=1008492645887&jrtk=3-0-1gq5jtm14jihh801-1gq5jtm1ois2h800-cbdd489a234592bc-,MD,93.0,junior,data_science
1893,Red Alpha LLC,5.0,Data Scientist (Multiple Levels),MD,$75K - $112K (Glassdoor est.),"Annapolis Junction, MD",2011.0,Enterprise Software & Network Solutions,Unknown / Non-Applicable,51 to 200 Employees,Company - Private,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=314&ao=1136043&s=58&guid=000001868b3ed7ff8f34f8ff7cd623e3&src=GD_JOB_AD&t=SR&vt=w&cs=1_b4789ae1&cb=1677373397320&jobListingId=1008457216773&jrtk=3-0-1gq5jtm14jihh801-1gq5jtm1ois2h800-240a19619a2a3e7c-,MD,93.5,no prefix,data_science
1894,Nolij Consulting,4.4,Data Scientist,MD,Employer est.:$100K - $110K ,"Vienna, VA",2012.0,Business Consulting,$1 to $5 million (USD),51 to 200 Employees,Company - Public,Management & Consulting,https://www.glassdoor.com/partner/jobListing.htm?pos=313&ao=1136043&s=58&guid=000001868b3ed7ff8f34f8ff7cd623e3&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e5fab538&cb=1677373397320&jobListingId=1008489578452&jrtk=3-0-1gq5jtm14jihh801-1gq5jtm1ois2h800-8e2e8081b760459e-,MD,105.0,no prefix,data_science
1895,Blue Sky Innovative Solutions,4.0,Data Engineer,MD,$83K - $120K (Glassdoor est.),"Washington, DC",,Information Technology Support Services,Unknown / Non-Applicable,Unknown,Company - Private,Information Technology,https://www.glassdoor.com/partner/jobListing.htm?pos=411&ao=1136043&s=58&guid=000001868b46b5d9ac143c021227694c&src=GD_JOB_AD&t=SR&vt=w&cs=1_5806e604&cb=1677373912943&jobListingId=1008471265681&jrtk=3-0-1gq5kddg4jihh801-1gq5kddgsis2h800-71ff8025ffa2a2eb-,MD,101.5,no prefix,data_engineer
1896,Axle Informatics,3.9,Power Platform Analyst,MD,$72K - $115K (Glassdoor est.),"Rockville, MD",2002.0,Research & Development,$100 to $500 million (USD),501 to 1000 Employees,Company - Private,Management & Consulting,https://www.glassdoor.com/partner/jobListing.htm?pos=410&ao=1110586&s=58&guid=000001868b46b5d9ac143c021227694c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_26efa8da&cb=1677373912943&jobListingId=1008477037897&cpc=8795CF9063CD573D&jrtk=3-0-1gq5kddg4jihh801-1gq5kddgsis2h800-2dc0be46747157e1--6NYlbfkN0Bo31RVmdkw5vQjGIRdvR91C8LyiQ62zsY7_1VlbtgjgJKiWNe_wJL9nvEYEdLxFIiZx1Byt1ZYilqtfyLUindFq5zStIJCgy_64paKBHAnyWGgtETwKMIMqJINGpGdQ-xxUC5ZadtlnH65db1gtFMO-Y3mLPpWKKJHTdAAv_qaZvrScOLw4eKur2hsYe5vq8X0Z1MGFL5MxRP3YwSPHd8GscXPtXFvh2CG9YBlbXJ3OoJUGoMHbgErm3xUydnV-lfhs9R4HL-XTC8UPsv_lje-t7NFr3pYp3bjhv9_QJo1kVNrlQP1vpknaFonAcnM5P4UXLIaMv9zAEtD_UIMkEavU0VC8vIoDYSYy5Yzbpu9G41xaLZZn2-zeu3I7YG8c3QKuR4y7u5tbbcx94juHd3OsBTn7qiHes44zlSlhJZaVZIQuRrY3JjHqFTPxVWCqzEnVa3CchwkHCTw1c8lpZJ3YxpbUSCEw7JTuDnKT9XV95-lD_NmP55gpWVki4JwFCkxtrThsB60tsuREp-4Qroj7isxbut40iU88h3tLNg2p-2Af6TkacdmcNnpI392MOLBWg--z-vetYZSc5EAaImD5cgcy2XId-Y%3D,MD,93.5,no prefix,other title
1897,Goucher College,3.4,Open Rank Professor in Data Science - Goucher College,MD,$42K - $65K (Glassdoor est.),"Baltimore, MD",1885.0,Colleges & Universities,$25 to $100 million (USD),201 to 500 Employees,College / University,Education,https://www.glassdoor.com/partner/jobListing.htm?pos=430&ao=1136043&s=58&guid=000001868b46b5d9ac143c021227694c&src=GD_JOB_AD&t=SR&vt=w&cs=1_e324c7a6&cb=1677373912944&jobListingId=1008416247768&jrtk=3-0-1gq5kddg4jihh801-1gq5kddgsis2h800-e5a173bd1e9358af-,MD,53.5,no prefix,professor
1898,AstraZeneca Pharmaceuticals Inc,4.1,Intenships in Machine Learning Research,MD,$57K - $91K (Glassdoor est.),"Gaithersburg, MD",1913.0,Biotech & Pharmaceuticals,$10+ billion (USD),10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,https://www.glassdoor.com/partner/jobListing.htm?pos=403&ao=1136043&s=58&guid=000001868b46b5d9ac143c021227694c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_91eed71b&cb=1677373912942&jobListingId=1008350867083&jrtk=3-0-1gq5kddg4jihh801-1gq5kddgsis2h800-0a2f34d8e24f7f54-,MD,74.0,no prefix,machine_learning_engineer
1899,"ShadowObjects, LLC",,"Data Scientist, Junior",MD,$81K - $120K (Glassdoor est.),"Leonardtown, MD",,,Unknown / Non-Applicable,1 to 50 Employees,Company - Public,,https://www.glassdoor.com/partner/jobListing.htm?pos=425&ao=1136043&s=58&guid=000001868b46b5d9ac143c021227694c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1fec4bbd&cb=1677373912944&jobListingId=1008121423713&jrtk=3-0-1gq5kddg4jihh801-1gq5kddgsis2h800-070185f07cfdfd38-,MD,100.5,junior,data_science
1900,Deloitte,4.1,Data Scientist,MD,$86K - $128K (Glassdoor est.),"New York, NY",1850.0,Accounting & Tax,$10+ billion (USD),10000+ Employees,Company - Private,Financial Services,https://www.glassdoor.com/partner/jobListing.htm?pos=404&ao=1136043&s=58&guid=000001868b46b5d9ac143c021227694c&src=GD_JOB_AD&t=SR&vt=w&cs=1_e62ffe3c&cb=1677373912942&jobListingId=1008475676467&jrtk=3-0-1gq5kddg4jihh801-1gq5kddgsis2h800-23f2e2705edb34eb-,MD,107.0,no prefix,data_science
